name,price,discount,url,sellers,sellers_score,rating,reviews
XIAOMI Redmi 15C 6.9'' 4GBRAM/128GB ROM Android 15 -Midnight Black,"₦ 134,999",10%,https://www.jumia.com.ng/xiaomi-redmi-15c-6.9-4gbram128gb-rom-android-15-midnight-black-418597148.html,FINET Comms - AC,88%,4.1,425
"Samsung Galaxy A07 6.7"" 4GB RAM/128GBGB ROM - Black","₦ 153,174",8%,https://www.jumia.com.ng/samsung-galaxy-a07-6.7-4gb-ram128gbgb-rom-black-418619812.html,CHEAP ZONE - AC,96%,4.2,27
XIAOMI Redmi 15 6.9'' 8GBRAM/256GB ROM Android 15 - Black,"₦ 220,501",5%,https://www.jumia.com.ng/redmi-15-6.9-8gbram256gb-rom-android-15-black-xiaomi-mpg11883477.html,FINET Comms - AC,88%,4.4,137
"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Black","₦ 140,386",8%,https://www.jumia.com.ng/samsung-galaxy-a06-6.7-4gb-ram128gb-rom-android-14-black-401614264.html,Were Deals Phones NG 1 - AC,88%,4.0,177
"XIAOMI Redmi Note 15 6.77"" 8GB 256GB Dual SIM 6500mAh AMOLED display- Black","₦ 305,331",7%,https://www.jumia.com.ng/xiaomi-redmi-note-15-6.77-8gb-256gb-dual-sim-6500mah-amoled-display-black-419172372.html,FINET Comms - AC,88%,4.6,27
"XIAOMI Redmi Note 15 6.77"" 6GB 128GB Dual SIM 6500mAh AMOLED display- Black","₦ 270,068",7%,https://www.jumia.com.ng/xiaomi-redmi-note-15-6.77-6gb-128gb-dual-sim-6500mah-amoled-display-black-419172382.html,FINET Comms - AC,88%,4.0,11
"Samsung Galaxy A17 6.7"" HD 4GB RAM/128GB ROM Android 14  - Black","₦ 222,629",7%,https://www.jumia.com.ng/samsung-galaxy-a17-6.7-hd-4gb-ram128gb-rom-android-14-black-418894257.html,CHEAP ZONE - AC,96%,4.3,31
"Poco C71  6.88"" 3GB RAM / 64GB ROM Android 15 - Black","₦ 98,999",8%,https://www.jumia.com.ng/poco-c71-6.88-3gb-ram-64gb-rom-android-15-black-418501178.html,FINET Comms - AC,88%,4.1,167
"Samsung Galaxy A17 6.7"" HD 6GB RAM/128GB ROM Android 14 - Black","₦ 241,132",7%,https://www.jumia.com.ng/samsung-galaxy-a17-6.7-hd-6gb-ram128gb-rom-android-14-black-418894272.html,CHEAP ZONE - AC,96%,4.2,11
"Poco C85 6.9"" 6GB RAM / 128GB ROM Xiaomi HyperOS - Black","₦ 144,999",8%,https://www.jumia.com.ng/poco-c85-6.9-6gb-ram-128gb-rom-xiaomi-hyperos-black-418753481.html,FINET Comms - AC,88%,4.4,70
